ticket_id,created_at,updated_at,customer_id,assigned_agent_id,category_id,priority,status,subject,description,resolution_notes,sla_hours,first_response_at,resolved_at,closed_at,sla_breached,escalated,escalation_reason,satisfaction_score
TKT-00001,2026-06-15T09:40:19,2026-06-15T14:44:00,CUST-009,AGT-002,CAT-015,P4,In Progress,Query about laptop refresh eligibility,"Laptop is approximately 4 years old and running noticeably slower than when new. Would like to understand the organisation device refresh policy and whether the current device is eligible for replacement, and if so what the process is to request one.",,72,2026-06-15T10:51:22,,,True,False,,
TKT-00002,2026-03-13T10:31:01,2026-03-15T14:36:29,CUST-017,AGT-001,CAT-015,P4,Closed,Request for second monitor for home office setup,Working remotely three days per week and would like to request a second external monitor for the home office setup. Line manager has provided verbal approval. Requesting information on the available options and the process for requesting peripherals for remote work.,Line manager approval confirmed via email. Equipment request raised for a standard 24-inch external monitor from the approved supplier. Delivery details provided. Estimated delivery within 3-5 business days.,72,2026-03-13T13:09:54,2026-03-14T12:48:56,2026-03-15T14:36:29,False,False,,5
TKT-00003,2026-02-02T13:08:08,2026-02-07T23:21:45,CUST-003,AGT-004,CAT-015,P3,Closed,How to configure VPN on a personal device for international travel,Travelling internationally next month for a conference and would like to configure VPN access on a personal laptop as a backup in case the corporate device has issues. Unsure whether this is permitted under IT policy and how to proceed if it is.,Confirmed that personal device VPN access is permitted under the BYOD policy for employees with a signed BYOD agreement on file. User has a current signed agreement. VPN client installer link and configuration guide sent. User confirmed successful installation and VPN connection test.,24,2026-02-02T13:42:51,2026-02-03T02:55:34,2026-02-07T23:21:45,False,False,,5
TKT-00004,2026-04-18T10:42:41,2026-04-19T20:52:43,CUST-007,AGT-003,CAT-012,P3,Closed,SSO authentication failure for project management tool,Receiving an SSO authentication error when attempting to access the corporate project management tool via the internal SSO portal. Error message states SAML assertion validation failed. All other SSO-enabled applications are working correctly. The issue affects multiple users.,The SAML signing certificate for the project management application integration had expired. New certificate generated and uploaded to the service provider. IdP metadata updated with the new certificate fingerprint. SSO login confirmed working for all affected users within 20 minutes.,24,2026-04-18T13:25:12,2026-04-18T18:28:34,2026-04-19T20:52:43,False,False,,2
TKT-00005,2026-06-17T09:57:02,2026-06-19T18:37:26,CUST-019,AGT-003,CAT-011,P3,Resolved,New finance team member requires ERP access before Monday start date,A new team member joining the finance department on Monday requires access to the accounts payable and general ledger modules in the ERP system. Manager approval has been provided via email and is attached. Access must be provisioned and tested before their first day.,ERP roles Finance_AP_User and Finance_GL_ReadOnly provisioned and linked to the new user account. Access tested in the staging environment and confirmed working. User account active from Monday 8am. Onboarding guide sent to the new starter personal email.,24,2026-06-17T11:32:29,2026-06-19T17:32:43,,True,False,,
TKT-00006,2026-06-26T09:30:51,2026-06-27T01:42:11,CUST-019,AGT-004,CAT-012,P3,In Progress,MFA authenticator app inaccessible after phone replacement,Mobile phone was replaced and the Microsoft Authenticator app data was not transferred to the new device. MFA challenges cannot be completed and login to all corporate systems is blocked. Old phone is available but the SIM card has been transferred to the new device.,,24,2026-06-26T09:53:15,,,True,False,,
TKT-00007,2026-02-17T07:06:03,2026-02-22T00:06:18,CUST-014,AGT-008,CAT-009,P3,Closed,CRM email integration not saving attachments to customer records,Inbound emails received on the shared CRM mailbox are being correctly logged as interactions but attachments are not being saved to the associated customer records. Issue began after the CRM upgrade deployed last Tuesday. Emails without attachments are processing correctly.,Vendor confirmed a defect in the CRM 5.1.0 email integration module where file attachments exceeding 2MB in size are silently dropped during processing. Hotfix 5.1.0-P3 deployed to production. Attachment processing confirmed working for all tested file sizes.,24,2026-02-17T09:31:21,2026-02-18T22:28:35,2026-02-22T00:06:18,True,False,,1
TKT-00008,2026-06-12T07:28:51,2026-06-13T07:42:37,CUST-015,AGT-011,CAT-008,P3,In Progress,CRM application load times increased from 3 seconds to over 45 seconds,"The CRM system is taking between 45 and 60 seconds to load individual customer records, compared to the usual 3-5 seconds. The slowdown started this morning and is affecting the entire sales team simultaneously. Report generation is also timing out before completing.",,24,2026-06-12T07:43:39,,,True,False,,
TKT-00009,2026-06-13T11:13:55,2026-06-13T11:51:40,CUST-003,AGT-008,CAT-013,P4,In Progress,Inbound emails from supplier domain not being received,Emails from the organisation primary supplier are not arriving in any recipient inbox. The supplier has confirmed the emails are being sent and no bounce notifications are being returned. The issue has been occurring for approximately two days. All other external email traffic is operating normally.,,72,2026-06-13T11:48:33,,,True,False,,
TKT-00010,2026-06-16T12:46:50,2026-06-16T18:39:21,CUST-015,AGT-008,CAT-009,P3,In Progress,Customer portal returning 503 Service Unavailable to all external users,All customers are receiving a 503 Service Unavailable error when attempting to log in to the self-service portal. The error has been occurring since approximately 2pm and is affecting every customer login attempt. Internal access to back-end systems is unaffected.,,24,2026-06-16T13:25:52,,,True,False,,
TKT-00011,2026-06-24T13:58:54,2026-06-25T10:40:43,CUST-018,AGT-011,CAT-006,P2,In Progress,Keyboard unresponsive — multiple keys affected,"Several keys on the laptop keyboard are unresponsive or require excessive force to register a keypress. Affected keys include E, R, and the spacebar. The issue has worsened progressively over the past two weeks and is significantly impacting data entry tasks.",,8,2026-06-24T14:14:47,,,True,False,,
TKT-00012,2026-05-18T11:07:56,2026-05-19T21:46:20,CUST-003,AGT-011,CAT-007,P3,Resolved,Unable to access internal SharePoint from the Sydney office network,All users on the Sydney office floor are unable to access the internal SharePoint site. The site is accessible from other office locations and via VPN when working remotely. Error message is ERR_CONNECTION_TIMED_OUT. Approximately 40 users are affected and cannot access shared documents.,Identified a misconfigured ACL rule on the core distribution switch blocking port 443 traffic originating from VLAN 20. Rule corrected and traffic flow restored. SharePoint access confirmed for all affected users within 10 minutes.,24,2026-05-18T12:54:39,2026-05-19T20:27:27,,True,False,,
TKT-00013,2026-06-30T10:25:08,2026-06-30T10:47:31,CUST-011,AGT-003,CAT-011,P4,Open,Access revocation required for departed employee — immediate action,"A team member departed the organisation yesterday afternoon. Please confirm their access has been revoked across all systems including Active Directory, email, VPN, CRM, and building access. The HR offboarding form has been submitted and is attached.",,72,,,,False,False,,
TKT-00014,2026-03-09T08:36:06,2026-03-13T22:17:40,CUST-003,AGT-001,CAT-012,P1,Closed,MFA prompt looping — cannot complete login despite correct credentials,"Correct credentials entered at login prompt but the MFA challenge loop repeats indefinitely without granting access. The Microsoft Authenticator app is showing and approving the prompts, but the system continues to re-challenge. Issue began this morning after a browser update.",Browser cookie store contained a corrupted session token from a previous failed authentication attempt. Clearing browser cookies and cache resolved the issue. Login completed successfully on the first attempt post-clear. IT communications issued to other potentially affected users.,2,2026-03-09T08:51:03,2026-03-09T10:12:29,2026-03-13T22:17:40,False,False,,4
TKT-00015,2026-03-11T14:00:42,2026-03-23T04:16:33,CUST-018,AGT-011,CAT-007,P4,Closed,Intermittent Wi-Fi drops in Level 2 meeting rooms during peak hours,Multiple users and teams are experiencing intermittent Wi-Fi disconnections in Level 2 meeting rooms MR-201 through MR-205. The issue is most severe between 9am and 12pm and appears to correlate directly with room occupancy. Client-facing meetings are being disrupted.,Access point AP-L2-04 was operating at 100% channel utilisation during peak hours. Deployed a second access point for load balancing and adjusted channel allocation across the floor to minimise co-channel interference. Connection stability confirmed via monitoring over the following two business days.,72,2026-03-11T16:48:49,2026-03-21T05:49:46,2026-03-23T04:16:33,True,False,,4
TKT-00016,2026-06-18T10:45:21,2026-06-18T13:32:26,CUST-005,AGT-002,CAT-012,P2,In Progress,Self-service password reset email not received after address change,A password reset was initiated via the self-service portal but the verification email has not been received after 30 minutes. Spam and junk folders have been checked. Note that the account email address was updated last month when moving to a new personal address.,,8,2026-06-18T12:19:17,,,True,True,Customer threatened contract review if not resolved within 2 hours,
TKT-00017,2026-04-29T15:10:47,2026-05-04T10:08:29,CUST-009,AGT-004,CAT-012,P1,Closed,MFA prompt looping — cannot complete login despite correct credentials,"Correct credentials entered at login prompt but the MFA challenge loop repeats indefinitely without granting access. The Microsoft Authenticator app is showing and approving the prompts, but the system continues to re-challenge. Issue began this morning after a browser update.",Browser cookie store contained a corrupted session token from a previous failed authentication attempt. Clearing browser cookies and cache resolved the issue. Login completed successfully on the first attempt post-clear. IT communications issued to other potentially affected users.,2,2026-04-29T15:46:25,2026-04-29T15:38:10,2026-05-04T10:08:29,False,False,,3
TKT-00018,2026-06-28T15:08:02,2026-06-29T12:56:52,CUST-012,AGT-010,CAT-006,P3,Pending Customer,External monitors not detected after docking station firmware update,"Following a docking station firmware update pushed centrally by IT, external monitors are no longer being detected. The dock USB ports remain functional but all DisplayPort and HDMI outputs have stopped working. Issue affects three users on the same desk cluster.",,24,2026-06-28T17:50:27,,,True,False,,
TKT-00019,2026-05-16T13:56:55,2026-05-16T17:39:30,CUST-012,AGT-008,CAT-013,P2,Resolved,External participants cannot join Teams meetings — link errors,External clients are unable to join Teams meetings using the links embedded in calendar invitations. They receive an error stating the meeting cannot be found or has expired. Internal participants can join the same meetings without issue. Client relationships are being impacted.,External guest access to Teams had been inadvertently disabled during a Teams admin policy review conducted last week. The affected meeting policy updated to re-enable external access. Existing meeting links confirmed functional within 20 minutes after policy propagation completed.,8,2026-05-16T16:43:59,2026-05-16T16:03:31,,False,False,,
TKT-00020,2026-06-15T13:21:50,2026-06-15T22:49:53,CUST-014,AGT-010,CAT-007,P1,In Progress,Unable to access internal SharePoint from the Sydney office network,All users on the Sydney office floor are unable to access the internal SharePoint site. The site is accessible from other office locations and via VPN when working remotely. Error message is ERR_CONNECTION_TIMED_OUT. Approximately 40 users are affected and cannot access shared documents.,,2,2026-06-15T13:39:02,,,True,True,Business impact confirmed — production system down affecting multiple users,
